# The following table is formatted as tab separated values. 
#GeneName	GeneId	TranscriptId	BioType	variants_impact_HIGH	variants_impact_LOW	variants_impact_MODERATE	variants_impact_MODIFIER	variants_effect_conservative_inframe_insertion	variants_effect_disruptive_inframe_deletion	variants_effect_disruptive_inframe_insertion	variants_effect_downstream_gene_variant	variants_effect_frameshift_variant	variants_effect_missense_variant	variants_effect_splice_region_variant	variants_effect_stop_gained	variants_effect_stop_retained_variant	variants_effect_synonymous_variant	variants_effect_upstream_gene_variant
PA0365	PA0365	AAG03754	protein_coding	0	0	0	2	0	0	0	0	0	0	0	0	0	0	2
PA0366	PA0366	AAG03755	protein_coding	0	0	0	2	0	0	0	0	0	0	0	0	0	0	2
PA0367	PA0367	AAG03756	protein_coding	0	0	0	2	0	0	0	1	0	0	0	0	0	0	1
PA0368	PA0368	AAG03757	protein_coding	0	0	0	2	0	0	0	1	0	0	0	0	0	0	1
PA0369	PA0369	AAG03758	protein_coding	0	0	0	2	0	0	0	1	0	0	0	0	0	0	1
PA0370	PA0370	AAG03759	protein_coding	0	0	0	2	0	0	0	2	0	0	0	0	0	0	0
PA0371	PA0371	AAG03760	protein_coding	0	0	0	2	0	0	0	2	0	0	0	0	0	0	0
PA0372	PA0372	AAG03761	protein_coding	0	0	0	2	0	0	0	2	0	0	0	0	0	0	0
PA0383	PA0383	AAG03772	protein_coding	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0
PA0384	PA0384	AAG03773	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1
PA0385	PA0385	AAG03774	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1
PA0386	PA0386	AAG03775	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1
PA0387	PA0387	AAG03776	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1
PA0388	PA0388	AAG03777	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1
PA0389	PA0389	AAG03778	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1
PA0391	PA0391	AAG03780	protein_coding	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0
PA0392	PA0392	AAG03781	protein_coding	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0
PA0394	PA0394	AAG03783	protein_coding	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0
PA0444	PA0444	AAG03833	protein_coding	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0
PA0445	PA0445	AAG03834	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1
PA0446	PA0446	AAG03835	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1
PA0448	PA0448	AAG03837	protein_coding	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0
PA0449	PA0449	AAG03838	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1
PA0450	PA0450	AAG03839	protein_coding	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0
PA0451	PA0451	AAG03840	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1
PA0452	PA0452	AAG03841	protein_coding	0	0	0	2	0	0	0	1	0	0	0	0	0	0	1
PA0453	PA0453	AAG03842	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1
PA0454	PA0454	AAG03843	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1
PA0456	PA0456	AAG03845	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1
PA0457	PA0457	AAG03846	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1
PA0457.1	PA0457.1	ACI25436	protein_coding	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0
PA0458	PA0458	AAG03847	protein_coding	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0
PA0459	PA0459	AAG03848	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1
PA0461	PA0461	AAG03850	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1
PA0462	PA0462	AAG03851	protein_coding	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0
PA0466	PA0466	AAG03855	protein_coding	0	0	0	2	0	0	0	2	0	0	0	0	0	0	0
PA0467	PA0467	AAG03856	protein_coding	0	0	1	1	0	0	0	0	0	1	0	0	0	0	1
PA0468	PA0468	AAG03857	protein_coding	0	0	0	2	0	0	0	1	0	0	0	0	0	0	1
PA0469	PA0469	AAG03858	protein_coding	0	1	0	1	0	0	0	0	0	0	0	0	0	1	1
PA0471	PA0471	AAG03860	protein_coding	0	0	0	2	0	0	0	1	0	0	0	0	0	0	1
PA0472	PA0472	AAG03861	protein_coding	0	0	0	2	0	0	0	1	0	0	0	0	0	0	1
PA0473	PA0473	AAG03862	protein_coding	0	0	0	2	0	0	0	1	0	0	0	0	0	0	1
PA0474	PA0474	AAG03863	protein_coding	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0
PA0475	PA0475	AAG03864	protein_coding	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0
PA0476	PA0476	AAG03865	protein_coding	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0
PA0477	PA0477	AAG03866	protein_coding	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0
PA0478	PA0478	AAG03867	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1
PA0479	PA0479	AAG03868	protein_coding	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0
PA0480	PA0480	AAG03869	protein_coding	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0
PA0481	PA0481	AAG03870	protein_coding	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0
PA0483	PA0483	AAG03872	protein_coding	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0
PA0484	PA0484	AAG03873	protein_coding	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0
PA0485	PA0485	AAG03874	protein_coding	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0
PA0486	PA0486	AAG03875	protein_coding	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0
PA0487	PA0487	AAG03876	protein_coding	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0
PA0488	PA0488	AAG03877	protein_coding	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0
PA0489	PA0489	AAG03878	protein_coding	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0
PA0490	PA0490	AAG03879	protein_coding	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0
PA0536	PA0536	AAG03925	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1
PA0537	PA0537	AAG03926	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1
PA0539	PA0539	AAG03928	protein_coding	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0
PA0540	PA0540	AAG03929	protein_coding	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0
PA0541	PA0541	AAG03930	protein_coding	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0
PA0542	PA0542	AAG03931	protein_coding	0	0	0	2	0	0	0	0	0	0	0	0	0	0	2
PA0543	PA0543	AAG03932	protein_coding	1	0	0	1	0	0	0	1	1	0	0	0	0	0	0
PA0544	PA0544	AAG03933	protein_coding	0	0	0	2	0	0	0	1	0	0	0	0	0	0	1
PA0545	PA0545	AAG03934	protein_coding	0	0	0	2	0	0	0	1	0	0	0	0	0	0	1
PA0547	PA0547	AAG03936	protein_coding	0	0	0	2	0	0	0	2	0	0	0	0	0	0	0
PA0549	PA0549	AAG03938	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1
PA0550	PA0550	AAG03939	protein_coding	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0
PA0600	PA0600	AAG03989	protein_coding	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0
PA0601	PA0601	AAG03990	protein_coding	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0
PA0602	PA0602	AAG03991	protein_coding	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0
PA0603	PA0603	AAG03992	protein_coding	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0
PA0604	PA0604	AAG03993	protein_coding	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0
PA0605	PA0605	AAG03994	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1
PA0606	PA0606	AAG03995	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1
PA0608	PA0608	AAG03997	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1
PA0613	PA0613	AAG04002	protein_coding	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0
PA0614	PA0614	AAG04003	protein_coding	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0
PA0615	PA0615	AAG04004	protein_coding	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0
PA0616	PA0616	AAG04005	protein_coding	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0
PA0617	PA0617	AAG04006	protein_coding	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0
PA0618	PA0618	AAG04007	protein_coding	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0
PA0619	PA0619	AAG04008	protein_coding	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0
PA0620	PA0620	AAG04009	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1
PA0621	PA0621	AAG04010	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1
PA0622	PA0622	AAG04011	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1
PA0623	PA0623	AAG04012	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1
PA0624	PA0624	AAG04013	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1
PA0639	PA0639	AAG04028	protein_coding	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0
PA0640	PA0640	AAG04029	protein_coding	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0
PA0641	PA0641	AAG04030	protein_coding	0	0	0	2	0	0	0	2	0	0	0	0	0	0	0
PA0642	PA0642	AAG04031	protein_coding	0	0	1	1	0	0	0	1	0	1	0	0	0	0	0
PA0643	PA0643	AAG04032	protein_coding	1	0	0	1	0	0	0	0	1	0	0	0	0	0	1
PA0644	PA0644	AAG04033	protein_coding	0	0	0	2	0	0	0	0	0	0	0	0	0	0	2
PA0645	PA0645	AAG04034	protein_coding	0	0	0	2	0	0	0	0	0	0	0	0	0	0	2
PA0646	PA0646	AAG04035	protein_coding	0	0	0	2	0	0	0	0	0	0	0	0	0	0	2
PA0647	PA0647	AAG04036	protein_coding	0	0	0	2	0	0	0	0	0	0	0	0	0	0	2
PA0648	PA0648	AAG04037	protein_coding	0	0	0	2	0	0	0	0	0	0	0	0	0	0	2
PA0663	PA0663	AAG04052	protein_coding	0	0	0	8	0	0	0	8	0	0	0	0	0	0	0
PA0664	PA0664	AAG04053	protein_coding	0	0	0	9	0	0	0	9	0	0	0	0	0	0	0
PA0665	PA0665	AAG04054	protein_coding	0	0	0	9	0	0	0	9	0	0	0	0	0	0	0
PA0666	PA0666	AAG04055	protein_coding	0	0	0	9	0	0	0	0	0	0	0	0	0	0	9
PA0667	PA0667	AAG04056	protein_coding	0	0	0	9	0	0	0	0	0	0	0	0	0	0	9
PA0668.1	PA0668.1	PA0668.1-1	rRNA	0	0	0	9	0	0	0	0	0	0	0	0	0	0	9
PA0668.2	PA0668.2	PA0668.2-1	protein_coding	0	0	0	9	0	0	0	0	0	0	0	0	0	0	9
PA0668.3	PA0668.3	PA0668.3-1	protein_coding	0	0	0	9	0	0	0	0	0	0	0	0	0	0	9
PA0668.4	PA0668.4	PA0668.4-1	rRNA	0	0	0	9	0	0	0	0	0	0	0	0	0	0	9
PA0677	PA0677	AAG04066	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1
PA0678	PA0678	AAG04067	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1
PA0679	PA0679	AAG04068	protein_coding	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0
PA0680	PA0680	AAG04069	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1
PA0681	PA0681	AAG04070	protein_coding	0	0	0	2	0	0	0	2	0	0	0	0	0	0	0
PA0682	PA0682	AAG04071	protein_coding	0	0	0	2	0	0	0	2	0	0	0	0	0	0	0
PA0683	PA0683	AAG04072	protein_coding	1	0	0	1	0	0	0	1	1	0	0	0	0	0	0
PA0684	PA0684	AAG04073	protein_coding	0	0	0	2	0	0	0	1	0	0	0	0	0	0	1
PA0685	PA0685	AAG04074	protein_coding	0	0	1	1	0	0	0	0	0	1	0	0	0	0	1
PA0686	PA0686	AAG04075	protein_coding	0	0	0	2	0	0	0	0	0	0	0	0	0	0	2
PA0687	PA0687	AAG04076	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1
PA0688	PA0688	AAG04077	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1
PA0689	PA0689	AAG04078	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1
PA0690	PA0690	AAG04079	protein_coding	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0
PA0708	PA0708	AAG04097	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1
PA0709	PA0709	AAG04098	protein_coding	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0
PA0711	PA0711	AAG04100	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1
PA0712	PA0712	AAG04101	protein_coding	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0
PA0713	PA0713	AAG04102	protein_coding	0	0	0	10	0	0	0	9	0	0	0	0	0	0	1
PA0714	PA0714	AAG04103	protein_coding	0	0	0	27	0	0	0	26	0	0	0	0	0	0	1
PA0715	PA0715	AAG04104	protein_coding	0	0	0	54	0	0	0	53	0	0	0	0	0	0	1
PA0716	PA0716	AAG04105	protein_coding	0	0	0	78	0	0	0	77	0	0	0	0	0	0	1
PA0717	PA0717	AAG04106	protein_coding	0	4	3	93	0	0	0	93	0	3	0	0	0	4	0
PA0718	PA0718	AAG04107	protein_coding	0	6	3	96	0	0	0	89	0	3	0	0	0	6	7
PA0719	PA0719	AAG04108	protein_coding	0	5	4	127	0	0	0	110	0	4	0	0	0	5	17
PA0720	PA0720	AAG04109	protein_coding	0	14	4	142	0	0	0	116	0	4	0	0	0	14	26
PA0721	PA0721	AAG04110	protein_coding	0	1	1	160	0	0	0	115	0	1	0	0	0	1	45
PA0722	PA0722	AAG04111	protein_coding	0	0	0	166	0	0	0	118	0	0	0	0	0	0	48
PA0724	PA0724	AAG04113	protein_coding	0	16	6	144	0	2	0	94	0	4	0	0	0	16	50
PA0725	PA0725	AAG04114	protein_coding	0	3	0	163	0	0	0	91	0	0	0	0	0	3	72
PA0726	PA0726	AAG04115	protein_coding	0	13	9	144	0	0	0	69	0	9	0	0	0	13	75
PA0727	PA0727	AAG04116	protein_coding	0	61	4	89	0	0	0	0	0	4	0	0	0	61	89
PA0728	PA0728	AAG04117	protein_coding	0	0	0	118	0	0	0	0	0	0	0	0	0	0	118
PA0729	PA0729	AAG04118	protein_coding	0	0	0	103	0	0	0	0	0	0	0	0	0	0	103
PA0729.1	PA0729.1	PA0729.1-1	protein_coding	0	0	0	93	0	0	0	93	0	0	0	0	0	0	0
PA0730	PA0730	AAG04119	protein_coding	0	0	0	91	0	0	0	91	0	0	0	0	0	0	0
PA0731	PA0731	AAG04120	protein_coding	0	0	0	69	0	0	0	69	0	0	0	0	0	0	0
PA0732	PA0732	AAG04121	protein_coding	0	0	0	25	0	0	0	25	0	0	0	0	0	0	0
PA0744	PA0744	AAG04133	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1
PA0745	PA0745	AAG04134	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1
PA0746	PA0746	AAG04135	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1
PA0747	PA0747	AAG04136	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1
PA0749	PA0749	AAG04138	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1
PA0751	PA0751	AAG04140	protein_coding	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0
PA0752	PA0752	AAG04141	protein_coding	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0
PA0753	PA0753	AAG04142	protein_coding	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0
PA0790	PA0790	AAG04179	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1
PA0791	PA0791	AAG04180	protein_coding	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0
PA0793	PA0793	AAG04182	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1
PA0794	PA0794	AAG04183	protein_coding	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0
PA0797	PA0797	AAG04186	protein_coding	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0
PA0808	PA0808	AAG04197	protein_coding	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0
PA0809	PA0809	AAG04198	protein_coding	0	0	0	2	0	0	0	0	0	0	0	0	0	0	2
PA0810	PA0810	AAG04199	protein_coding	0	0	0	2	0	0	0	0	0	0	0	0	0	0	2
PA0811	PA0811	AAG04200	protein_coding	0	0	0	2	0	0	0	0	0	0	0	0	0	0	2
PA0812	PA0812	AAG04201	protein_coding	0	0	0	2	0	0	0	0	0	0	0	0	0	0	2
